Date,AAPL,AMD,BAC,BRCD,CHK,CMCSA,CSCO,F,FHN,GE,INTC,JPM,MSFT,MU,RAD,SIRI,T,TEVA,VALE,VZ,WFC,WFT
2011-08-08,45.232760999999996,5.94,6.120945,3.030973,24.164467000000002,8.840661,11.601556,7.825060000000001,6.594389,12.462645,16.40963,28.716431,20.559773999999997,5.71,1.03,1.603418,20.015198,30.554585,18.76754,24.824427,19.270121,15.93
2011-08-09,47.896442,6.18,7.145803,3.303949,25.870195000000002,8.961822999999999,11.701426,8.597323,6.866885000000001,12.890719,16.809465,30.689321999999997,21.483622,6.19,1.11,1.7491830000000002,20.846155,33.430107,19.917034,25.701378,20.824841,16.870001000000002
2011-08-10,46.574847999999996,5.85,6.365407,3.172168,25.568142,8.559389,11.426785,8.203308,6.14023,12.188032000000002,16.262749,28.977793,20.324617,5.72,1.05,1.681159,20.145262,32.1605,19.278425,25.229176000000002,19.228102,16.1
2011-08-11,47.856747,6.17,6.816721,3.388666,27.442663,8.909898,13.249413,8.620961999999999,6.34006,12.664568,16.940029,30.933822999999997,21.156075,6.37,1.1,1.807489,20.549904,33.371243,20.255117000000002,25.948723,20.413054000000002,17.190001000000002
2011-08-12,48.278057000000004,6.21,6.760306,3.322776,27.806908,8.931534,13.307667000000002,8.715525999999999,6.231061,12.826106,16.850267000000002,30.276190000000003,21.080485999999997,6.18,1.07,1.817207,20.390932,33.379661999999996,20.381784,25.708873999999998,20.278584,17.309998999999998
2011-08-15,49.100227000000004,6.43,7.296241,3.4545559999999997,28.686421999999997,9.204156,13.340957999999999,8.944051,6.51264,13.238026000000001,17.046104,31.094016999999997,21.424829000000003,6.48,1.1,1.8463599999999998,20.817253,34.203635999999996,20.896126000000002,26.271019,21.026532999999997,17.68
2011-08-16,48.725002,6.34,6.957757000000001,3.5298599999999998,28.126728000000004,9.182516,13.315991,8.841610000000001,6.303726999999999,13.044181,16.964506,30.377373,21.424829000000003,6.29,1.08,1.856078,20.802801000000002,34.077511,20.765623,26.143604,20.631552,17.200001
2011-08-17,48.719871999999995,6.14,7.014171000000001,3.5110339999999995,28.16227,9.230116,13.191154000000001,8.754927,6.358226999999999,13.108792999999999,16.866585,30.832646999999998,21.340315,6.11,1.07,1.865795,21.077379,33.724384,21.310675,26.690752000000003,20.908876,17.379998999999998
2011-08-18,46.877071,5.79,6.591063,3.1251029999999997,26.492072999999998,8.775752,12.492064,8.179671,5.976732,12.389954,16.132195,29.669146,20.850119,5.64,1.0,1.729748,20.564352,32.62294,19.99795,26.286011,19.934031,15.99
2011-08-19,45.59388,5.98,6.553453,3.219233,26.038994,8.637279,12.550321,7.8723410000000005,5.840485,12.188032000000002,15.658919000000001,28.960932,20.326122,5.25,0.99,1.72003,20.224743,32.564075,19.675526,26.016178,19.631487,15.05
2011-08-22,45.646389,6.05,6.036325,3.200407,25.248314,8.559389,12.492064,7.888103,5.767818,12.204184,15.813954999999998,28.168411,20.266962,5.26,0.97,1.6617240000000002,20.557125,32.429553999999996,19.644817,26.098629000000003,19.236506,14.68
2011-08-23,47.843933,6.5,5.923496,3.303949,26.341048999999998,8.680553999999999,12.849931,8.124508,5.976732,12.55149,16.083231,29.323473,20.892378,5.66,1.03,1.6422889999999999,20.940088,33.329215999999995,20.335728,26.953096000000002,20.118916,15.52
2011-08-24,48.174328,6.34,6.572258000000001,3.2662970000000002,26.811899,8.901243,12.866577000000001,8.234828,6.16748,12.696875,16.156672,30.208741999999997,21.044504,5.3,1.05,1.700595,21.265242,33.354431,20.404816,27.33535,20.53071,15.63
2011-08-25,47.859314000000005,6.37,7.1928160000000005,3.2757110000000003,26.252207000000002,8.754113,12.550321,8.100866,6.0403150000000005,12.478799,15.846594,30.116003000000003,20.765601999999998,5.38,1.01,1.6422889999999999,20.997889999999998,32.4884,20.136129,26.810685999999997,20.808033,15.2
2011-08-26,49.121994,6.49,7.296241,3.4357309999999996,27.113953000000002,8.901243,12.750061,8.195427,6.1765620000000006,12.55149,16.132195,30.529123,21.340315,5.66,1.03,1.652006,20.983444,33.144234000000004,20.673504,26.803185,20.665165,15.74
2011-08-29,49.940308,6.83,7.888591,3.62399,28.224457,9.191172,13.099605,8.61308,6.621638000000001,12.955338000000001,16.564674,31.734776,21.838964,6.15,1.07,1.7589009999999998,21.142408,34.127959999999995,21.180168,27.088009000000003,21.36269,16.719998999999998
2011-08-30,49.942867,6.84,7.634728,3.642815,28.810793,9.225792,13.008058,8.5658,6.349143,13.019952,16.515711,31.24577,22.168575,5.95,1.07,1.7491830000000002,21.402531,34.077511,21.364411999999998,27.215431,21.345882,16.93
2011-08-31,49.282074,6.83,7.691211999999999,3.642815,28.775260999999997,9.308008000000001,13.041348,8.762806,6.394558999999999,13.173410999999998,16.425945000000002,31.66733,22.481282999999998,5.91,1.1,1.7491830000000002,20.5788,34.775379,21.679154999999998,27.110492999999998,21.934155,17.129998999999998
2011-09-01,48.795441,6.68,7.446447999999999,3.5957510000000004,29.414911,9.35561,13.166185,8.55004,6.149312999999999,13.084567,16.311712,30.605001,22.151670000000003,5.74,1.05,1.7103130000000002,20.427061,34.691303000000005,21.640774,26.893133000000002,21.203012,16.99
2011-09-02,47.901558,6.32,6.825125999999999,3.4263169999999996,28.526506,9.087317,12.824964,8.21119,5.731486,12.729182000000002,16.026112,29.197012,21.805153,5.5,1.02,1.6714419999999999,20.268095000000002,33.825275,20.926834,26.653278000000004,20.337418,16.34
2011-09-06,48.63023,6.27,6.580361999999999,3.4357309999999996,27.469313,8.961822999999999,12.716769000000001,8.053586,5.667905,12.317260000000001,15.944517000000001,28.193699,21.560057,5.67,1.02,1.6422889999999999,20.109131,33.093784,20.788656,26.398436,20.10211,15.94
2011-09-07,49.166813,6.76,7.041647,3.831075,27.993471000000003,9.256083,13.216122,8.321516,6.11298,12.76149,16.385145,29.357198999999998,21.97419,6.06,1.12,1.7491830000000002,20.325905,33.909359,21.510269,26.698248,20.976110000000002,16.620001000000002
2011-09-08,49.193709999999996,6.81,6.778055,3.7557720000000003,28.393253,9.269063000000001,13.557344,8.148149,5.804151999999999,12.591875,16.238272,28.252717999999998,22.160118,6.25,1.1,1.700595,20.203066,33.245129,21.226225,26.518368,20.505492999999998,16.68
2011-09-09,48.340813,6.52,6.570949000000001,3.558099,26.98958,9.048372,13.166185,7.919625,5.640655000000001,12.188032000000002,16.075069,27.047071000000003,21.75444,6.35,1.07,1.6714419999999999,19.899584,32.362293,20.481585,26.413428999999997,19.765949,15.94
2011-09-12,48.655846000000004,6.71,6.636847,3.7463580000000003,27.327173,9.147899,13.390895,7.966903,5.56799,12.123416,16.548348999999998,27.333723,21.881218,6.69,1.09,1.622853,20.145262,31.883039,20.458553,26.420923,20.253373999999997,16.129998999999998
2011-09-13,49.255179999999996,6.96,6.589777000000001,3.6710550000000004,27.9757,9.45081,13.60728,8.014184,5.667905,12.446489,16.940029,27.392744,22.007994,6.86,1.15,1.6422889999999999,20.31868,32.110054,20.550676,26.608301,20.47188,16.07
2011-09-14,49.8545,7.21,6.636847,3.793424,28.002356,9.511389,13.590631,8.132386,5.858958,12.753411,17.233786,27.654106,22.396765,7.2,1.14,1.7491830000000002,20.419836,32.227753,20.573701999999997,26.683258000000002,20.749207000000002,16.23
2011-09-15,50.323219,7.34,6.900438,3.9722699999999995,28.180037,9.784011999999999,13.873597,8.376675,6.177379,13.112206,17.576501999999998,28.505659,22.810894,7.04,1.1,1.788054,20.622158,32.353882,20.949867,27.125483000000003,21.169395,16.57
2011-09-16,51.288807,7.2,6.806297,4.104051,28.268873,9.926813000000001,13.831984,8.368793,6.150085,13.316061999999999,17.927376000000002,28.185268,22.920769,7.03,1.12,1.7783360000000001,20.911185999999997,32.437954,20.834711,27.522736,20.967703,16.35
