Date,A,AFB,AVB,BANC,BFK,BLL,BT,CIR,CNI,DEI,E,EIX,GME,HQH,KO,LEN,MMM,MSI,MYJ,NOM,OLP,PBT,PHI,PPR,PWR,REX,SNP,SSW,SWK,TLRD,VALE,WRE,ZBH
2012-08-23,25.418736,11.504589,122.152695,10.169767,10.959624,19.905039000000002,14.444182000000001,32.986965000000005,41.645351,20.558609,32.522465000000004,37.692341,14.777422,10.861633,32.176029,30.882517,80.891312,42.590614,12.45178,13.915737,12.939416,12.90064,47.38261,4.1453809999999995,24.309998999999998,17.809998999999998,57.35516,10.409197,59.180434999999996,26.438736,13.829754999999999,21.09911,58.247025
2012-08-24,25.676514,11.460255,122.526634,10.061491,10.981281,19.886162,14.317663,32.957409000000006,41.924206,20.653467000000003,32.233222999999995,37.925755,14.595182999999999,10.938258,32.47998,31.461022999999997,81.638824,42.635376,12.34152,13.993960999999999,12.939416,12.792534,47.169415,4.166675,24.200001,17.940001000000002,56.78909300000001,10.344543,59.818893,26.680104999999998,13.700880999999999,21.194443,58.476074
2012-08-27,25.398386,11.534142,122.178192,10.07815,11.075139,19.801199,14.342967000000002,32.770203,41.883068,20.601727,32.307384000000006,37.683693,14.381245999999999,10.976567999999999,32.226692,30.863234000000002,81.427773,42.706982,12.312119000000001,13.931374,13.016100999999999,12.374524000000001,47.242931,4.166675,24.129998999999998,17.76,57.98209,10.467386,59.597191,26.352533,13.43508,21.250048,58.275661
2012-08-28,25.065975,11.622809,121.99969499999999,10.028176,11.154561,19.768164000000002,14.608657999999998,32.238155,42.052203999999996,20.61035,32.655975,37.43298,14.373322,11.085122,32.08316,31.11392,81.172722,42.599575,12.238617,13.641956,13.183425,12.172728999999999,47.187283,4.187969,24.23,18.65,57.793404,10.447988,58.728207,26.499077000000003,13.338423,21.226212,58.485626
2012-08-29,25.208437,11.733647999999999,121.45583300000001,10.044835,11.205095,19.768164000000002,14.625529,31.972132000000002,41.965354999999995,20.593103,32.522465000000004,37.78743,14.745729,11.129821000000002,31.627240999999998,31.065714,81.287041,43.082947,12.290066,13.641956,13.343773,11.216002,47.683597999999996,4.230557,23.92,17.82,58.164683999999994,10.402733,58.941025,27.438703999999998,12.967913000000001,21.28182,59.191883
2012-08-30,25.127032999999997,11.755813,120.48706100000001,9.928225999999999,11.212317,19.782358,14.515877,31.578020000000002,41.819061,20.618975,32.107136,37.873886,15.181524,11.123434,31.357063,30.950008,80.69783000000001,42.572712,12.268019,13.681067,13.037017,10.970134,47.540718,4.230557,23.620001000000002,17.440001000000002,57.604721,10.16998,58.231636,27.059401,12.919583,21.313601000000002,59.086887
2012-08-31,25.208437,11.800147,120.26610600000001,10.044835,11.255636,19.952684,14.545399,31.380965999999997,41.846493,20.68796,32.715309000000005,37.856598,15.118132999999998,11.193674,31.576588,31.268192,81.436539,42.662234999999995,12.41503,13.735825,13.322857,11.259395,48.352866999999996,4.237659,24.0,17.4,57.367343999999996,10.260494,58.329174,27.240433000000003,13.185386,21.337426999999998,58.962821999999996
2012-09-04,25.133816,11.800147,121.132896,9.953216000000001,11.197878999999999,19.768162,14.832173000000001,32.79977,41.649925,20.782825,32.292553000000005,38.012199,16.171967000000002,11.129821000000002,31.475262,31.682785,80.627472,42.626431,12.554686,13.681067,13.357716,11.013519,48.413021,4.258952,24.07,17.719998999999998,55.620449,10.577295,58.471058,27.171463,12.79071,21.623407,60.12719
2012-09-05,24.923521,11.724412,121.16688500000001,9.961544,11.197878999999999,19.957418,14.920734,32.484478,41.324444,20.748327,31.854961,38.029488,16.282898,11.117049,31.669456,31.702068,80.68903399999999,42.698036,12.503232,13.688889999999999,13.322857,10.731494,48.209988,4.258952,24.02,17.66,54.947231,10.777721000000001,59.016009999999994,27.447319,13.03235,21.639295999999998,59.745422
2012-09-06,25.425518,11.635309,121.93173200000001,10.06982,11.197878999999999,20.198726999999998,15.140034,33.932835,42.022213,20.782825,33.212227,38.36665,16.687004,11.142591,32.209808,32.859085,82.034576,43.969134999999994,12.576741,13.798402,13.706299,10.745955,48.495739,4.291801,24.780001000000002,18.08,55.690433999999996,10.693673,63.768738,32.57645,13.604226,21.84584,61.129314
